"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\process_manager.py", "Python", 4, 0, 1, 5
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\single_instance.py", "Python", 25, 0, 10, 35
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\ahk_workspace_manager\ui.py", "Python", 8, 0, 0, 8
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_main_window.py", "Python", 21, 0, 7, 28
"c:\Users\davey\Desktop\Projects\Win-11-Taskbar-Tray\tests\test_process_manager.py", "Python", 23, 0, 8, 31
"Total", "-", 81, 0, 26, 107
